2000;31/07/2020;002;003;004;007;011;012;014;016;017;18;19;20;22;23;24;31.017.167,50;2;EUCLIDESDACUNHA\tBAMARINGA\tPR;376;14425;199362;1085059;1.289.106,48;2.109,83;25,00;10,00;5,00;0,00;2.500.000,00;74.173.433,15;;
1999;29/07/2020;003;004;006;007;008;009;013;015;017;19;20;22;23;24;25;28.145.377,50;3;PATOS\tPBSAOPAULO\tSP;516;17574;220718;1085804;625.696,46;1.599,01;25,00;10,00;5,00;0,00;2.500.000,00;73.578.460,93;
1998;27/07/2020;001;003;004;005;006;010;011;012;013;14;17;19;20;22;24;27.665.095,00;1;CUIABA\tMT;463;18565;209555;1033495;1.940.879,25;1.842,62;25,00;10,00;5,00;0,00;2.500.000,00;73.145.286,45;
1997;24/07/2020;002;004;006;007;008;009;012;013;014;15;16;18;20;21;22;29.818.957,50;1;LAURODEFREITAS\tBA;428;16974;192995;1004284;2.525.613,12;1.815,69;25,00;10,00;5,00;0,00;2.500.000,00;72.697.391,23;
1996;22/07/2020;002;004;005;007;008;009;010;011;012;13;18;19;20;22;25;28.437.330,00;4;FORTALEZA\tCEVILAVELHA\tESTUNTUM\tMATERESINA\tPI;622;18670;215861;1099083;478.524,36;1.352,67;25,00;10,00;5,00;0,00;2.500.000,00;72.114.557,43;
1995;20/07/2020;001;003;005;007;009;010;011;012;013;14;18;19;20;23;25;29.106.950,00;6;GOIANIA\tGODOURADOS\tMSSAOGABRIEL\tRSSANTOANDRE\tSPSAOPAULO\tSPSAOROQUE\tSP;622;22276;261284;1216607;255.185,83;1.082,02;25,00;10,00;5,00;0,00;2.500.000,00;71.672.842,63;
1994;17/07/2020;003;004;005;006;007;008;009;011;012;17;19;20;22;24;25;43.482.220,00;6;CANALELETRONICO\t--MANAUS\tAMSAOGONCALO\tRJFLORIANOPOLIS\tSCCARAGUATATUBA\tSPSOROCABA\tSP;756;24406;294430;1497933;988.553,02;1.445,45;25,00;10,00;5,00;0,00;2.500.000,00;71.319.508,40;
1993;15/07/2020;001;003;004;005;006;008;009;010;013;15;16;20;21;22;23;29.928.320,00;0;;372;16081;220253;1027787;0,00;1.968,45;25,00;10,00;5,00;2.379.848,71;6.000.000,00;70.499.938,53;
1992;13/07/2020;003;004;005;006;007;008;009;011;012;14;19;20;21;22;23;29.594.787,50;3;CURITIBA\tPREMBUDASARTES\tSPSAOPAULO\tSP;471;15044;175283;957222;897.002,22;1.757,97;25,00;10,00;5,00;0,00;2.500.000,00;69.950.742,66;
1991;10/07/2020;001;002;005;006;007;008;010;014;015;16;17;18;20;22;24;43.984.917,50;5;CARMODORIOCLARO\tMGITATIAIA\tRJRIODEJANEIRO\tRJITAQUAQUECETUBA\tSPSAOPAULO\tSP;546;19843;267902;1429749;1.345.085,15;2.241,96;25,00;10,00;5,00;0,00;2.500.000,00;69.329.741,11;
1990;08/07/2020;004;006;007;008;009;011;013;014;016;17;19;20;23;24;25;29.987.725,00;0;;318;12646;166185;996829;0,00;2.658,04;25,00;10,00;5,00;2.747.077,87;5.500.000,00;68.411.660,83;
1989;06/07/2020;001;002;004;006;007;009;010;011;012;16;17;19;23;24;25;29.622.535,00;2;CANALELETRONICO\t--LONDRINA\tPR;540;16980;207134;1023173;1.189.748,54;1.355,84;25,00;10,00;5,00;0,00;2.500.000,00;67.777.719,77;
1988;03/07/2020;002;005;006;007;009;011;012;014;015;17;19;21;22;23;24;31.603.232,50;8;BELOHORIZONTE\tMGMARIANA\tMGPLANALTODASERRA\tMTBELEM\tPAFRANCA\tSPSANTOANDRE\tSPSAOJOSEDORIOPRETO\tSP;713;28790;223867;1068803;306.986,59;1.514,04;25,00;10,00;5,00;0,00;2.500.000,00;67.228.605,05;
1987;01/07/2020;002;003;004;005;006;010;011;012;013;15;16;17;19;21;22;28.957.057,50;3;CANALELETRONICO\t--SOROCABA\tSPSUMARE\tSP;392;12050;163434;943042;895.149,47;2.107,89;25,00;10,00;5,00;0,00;2.500.000,00;66.661.860,58;
1986;29/06/2020;001;004;005;007;008;010;011;012;013;15;17;18;21;23;24;27.054.887,50;9;FUNDAO\tESGUIALOPESDALAGUNA\tMSGUARABIRA\tPBRIODEJANEIRO\tRJLAJEADO\tRSBAURU\tSPGUARUJA\tSPMONTEALTO\tSPSAOPAULO\tSP;851;22493;209075;1024360;199.867,28;929,12;25,00;10,00;5,00;0,00;2.500.000,00;66.042.141,72;
1985;26/06/2020;001;002;003;006;007;009;011;012;014;15;17;21;22;23;24;38.788.487,50;2;CANALELETRONICO\t--MONTESCLAROS\tMG;401;16476;218779;1247896;2.801.663,02;2.784,51;25,00;10,00;5,00;0,00;2.500.000,00;65.627.032,74;
1984;24/06/2020;002;004;005;010;011;012;013;014;016;19;20;21;23;24;25;27.241.760,00;0;;385;15471;197167;1022299;0,00;1.577,95;25,00;10,00;5,00;1.974.410,15;4.500.000,00;64.789.590,60;
1983;22/06/2020;001;002;005;006;007;008;009;010;011;12;16;19;20;23;24;29.410.002,50;3;ARUANA\tGOCUIABA\tMTRIODEJANEIRO\tRJ;404;15811;183184;960304;867.624,50;1.982,39;25,00;10,00;5,00;0,00;2.500.000,00;64.333.957,49;
1982;19/06/2020;001;002;003;004;005;007;014;015;016;17;18;19;20;22;25;30.562.330,00;1;NAVEGANTES\tSC;322;12107;146730;912745;3.146.356,88;3.006,55;25,00;10,00;5,00;0,00;2.500.000,00;63.733.294,37;
